onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	answer	test_x	test_y	test_z	color_b	color_g	color_r	case	font
337.516	n/a	SESS_START	168758	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
380.97	n/a	START	190485	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
381.002	n/a	PROB	190501	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	12	1	6	5	n/a	n/a	n/a	n/a	n/a
382.75	n/a	PROB	191375	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	7	2	7	n/a	n/a	n/a	n/a	n/a
384.712	n/a	PROB	192356	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	7	3	4	n/a	n/a	n/a	n/a	n/a
386.078	n/a	PROB	193039	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	9	3	2	n/a	n/a	n/a	n/a	n/a
388.756	n/a	PROB	194378	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	3	4	8	n/a	n/a	n/a	n/a	n/a
391.054	n/a	PROB	195527	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	8	1	2	5	n/a	n/a	n/a	n/a	n/a
392.7	n/a	PROB	196350	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	18	5	6	7	n/a	n/a	n/a	n/a	n/a
399.784	n/a	STOP	199892	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
478.358	n/a	WORD	239179	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	FOOTBALL	591	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
482.234	n/a	WORD	241117	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	TEAM	1441	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
486.412	n/a	WORD	243206	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	BADGE	68	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
490.522	n/a	WORD	245261	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	PUDDING	1139	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
494.384	n/a	WORD	247192	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	CORN	381	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
498.578	n/a	WORD	249289	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	ANIMAL	23	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
502.622	n/a	WORD	251311	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	CAFETERIA	217	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
506.616	n/a	WORD	253308	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	CELERY	266	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
510.626	n/a	WORD	255313	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	MARBLE	867	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
514.522	n/a	WORD	257261	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	STONE	1385	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
518.582	n/a	WORD	259291	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	PUPPY	1144	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
522.676	n/a	WORD	261338	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	FACTORY	548	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
526.752	n/a	WORD	263376	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	CROCODILE	411	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
530.964	n/a	WORD	265482	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	ZUCCHINI	1638	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
534.89	n/a	WORD	267445	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	MONSTER	912	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
539.052	n/a	WORD	269526	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	DEPUTY	450	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
542.064	n/a	START	271032	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
543.062	n/a	PROB	271531	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	20	5	8	7	n/a	n/a	n/a	n/a	n/a
545.774	n/a	PROB	272887	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	4	5	7	n/a	n/a	n/a	n/a	n/a
547.438	n/a	PROB	273719	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	6	5	3	n/a	n/a	n/a	n/a	n/a
549.874	n/a	STOP	274937	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
551.832	n/a	REC_START	275916	n/a	LTP289	ltpFR	13	1	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
553.972	n/a	REC_WORD	276986	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	PUPPY	1144	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
555.496	n/a	REC_WORD	277748	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	FACTORY	548	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
560.082	n/a	REC_WORD	280041	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	FOOTBALL	591	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
561.532	n/a	REC_WORD	280766	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	TEAM	1441	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
563.662	n/a	REC_WORD	281831	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	BADGE	68	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
564.912	n/a	REC_WORD	282456	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	PUDDING	1139	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
566.236	n/a	REC_WORD	283118	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	CORN	381	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
569.588	n/a	REC_WORD	284794	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	CAFETERIA	217	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
572.546	n/a	REC_WORD	286273	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	MARBLE	867	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
576.934	n/a	REC_WORD	288467	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	STONE	1385	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
581.082	n/a	REC_WORD	290541	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	CROCODILE	411	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
583.57	n/a	REC_WORD	291785	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	1	1	DEPUTY	450	n/a	1	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
647.106	n/a	START	323553	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
648.622	n/a	PROB	324311	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	6	6	3	n/a	n/a	n/a	n/a	n/a
650.452	n/a	PROB	325226	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	9	3	3	3	n/a	n/a	n/a	n/a	n/a
651.934	n/a	PROB	325967	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	12	6	4	2	n/a	n/a	n/a	n/a	n/a
653.556	n/a	STOP	326778	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
656.294	n/a	WORD	328147	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	RAM	1165	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
659.308	n/a	START	329654	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
660.322	n/a	PROB	330161	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	4	2	7	n/a	n/a	n/a	n/a	n/a
662.552	n/a	PROB	331276	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	5	2	8	n/a	n/a	n/a	n/a	n/a
666.076	n/a	STOP	333038	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
668.276	n/a	WORD	334138	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	OINTMENT	974	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
671.29	n/a	START	335645	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
672.17	n/a	PROB	336085	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	19	9	5	5	n/a	n/a	n/a	n/a	n/a
673.686	n/a	PROB	336843	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	18	8	3	7	n/a	n/a	n/a	n/a	n/a
675.482	n/a	PROB	337741	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	13	5	3	5	n/a	n/a	n/a	n/a	n/a
676.814	n/a	PROB	338407	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	13	3	7	7	n/a	n/a	n/a	n/a	n/a
678.268	n/a	STOP	339134	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
680.358	n/a	WORD	340179	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	SHEARS	1276	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
683.372	n/a	START	341686	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
684.254	n/a	PROB	342127	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	4	7	5	n/a	n/a	n/a	n/a	n/a
687.748	n/a	PROB	343874	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	8	2	6	n/a	n/a	n/a	n/a	n/a
691.372	n/a	STOP	345686	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
692.224	n/a	WORD	346112	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	ORCHID	982	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
695.238	n/a	START	347619	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
696.102	n/a	PROB	348051	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	19	5	7	7	n/a	n/a	n/a	n/a	n/a
698.316	n/a	PROB	349158	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	13	5	1	7	n/a	n/a	n/a	n/a	n/a
700.944	n/a	PROB	350472	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	4	9	2	n/a	n/a	n/a	n/a	n/a
702.852	n/a	STOP	351426	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
704.056	n/a	WORD	352028	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	OX	994	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
707.07	n/a	START	353535	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
708.15	n/a	PROB	354075	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	20	7	9	4	n/a	n/a	n/a	n/a	n/a
711.396	n/a	PROB	355698	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	17	7	5	5	n/a	n/a	n/a	n/a	n/a
712.694	n/a	PROB	356347	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	20	9	4	7	n/a	n/a	n/a	n/a	n/a
714.9	n/a	STOP	357450	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
716.256	n/a	WORD	358128	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	PORPOISE	1109	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
719.268	n/a	START	359634	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
720.432	n/a	PROB	360216	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	4	1	9	n/a	n/a	n/a	n/a	n/a
721.946	n/a	PROB	360973	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	5	6	3	n/a	n/a	n/a	n/a	n/a
727.268	n/a	STOP	363634	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
728.47	n/a	WORD	364235	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	TURNIP	1521	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
731.484	n/a	START	365742	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
732.482	n/a	PROB	366241	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	1	5	9	n/a	n/a	n/a	n/a	n/a
733.864	n/a	PROB	366932	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	7	3	6	n/a	n/a	n/a	n/a	n/a
735.46	n/a	PROB	367730	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	8	3	5	n/a	n/a	n/a	n/a	n/a
738.1	n/a	STOP	369050	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
740.636	n/a	WORD	370318	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	FISH	571	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
743.65	n/a	START	371825	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
744.514	n/a	PROB	372257	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	9	3	4	2	n/a	n/a	n/a	n/a	n/a
746.462	n/a	PROB	373231	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	7	6	3	n/a	n/a	n/a	n/a	n/a
747.692	n/a	PROB	373846	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	3	8	5	n/a	n/a	n/a	n/a	n/a
751.65	n/a	STOP	375825	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
752.618	n/a	WORD	376309	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	ATHLETE	52	n/a	1	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
755.632	n/a	START	377816	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
756.596	n/a	PROB	378298	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	19	7	3	9	n/a	n/a	n/a	n/a	n/a
758.028	n/a	PROB	379014	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	4	4	6	n/a	n/a	n/a	n/a	n/a
759.658	n/a	PROB	379829	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	9	3	2	4	n/a	n/a	n/a	n/a	n/a
762.23	n/a	STOP	381115	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
764.518	n/a	WORD	382259	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	BASEBALL	93	n/a	0	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
767.53	n/a	START	383765	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
768.396	n/a	PROB	384198	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	1	7	6	n/a	n/a	n/a	n/a	n/a
770.542	n/a	PROB	385271	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	6	2	8	n/a	n/a	n/a	n/a	n/a
772.34	n/a	PROB	386170	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	5	1	8	n/a	n/a	n/a	n/a	n/a
774.326	n/a	STOP	387163	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
776.7	n/a	WORD	388350	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	PATIO	1025	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
779.712	n/a	START	389856	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
780.576	n/a	PROB	390288	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	21	8	8	5	n/a	n/a	n/a	n/a	n/a
782.49	n/a	PROB	391245	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	13	4	6	3	n/a	n/a	n/a	n/a	n/a
784.088	n/a	PROB	392044	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	6	6	3	n/a	n/a	n/a	n/a	n/a
787.712	n/a	STOP	393856	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
788.632	n/a	WORD	394316	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	COWBOY	395	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
791.644	n/a	START	395822	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
792.56	n/a	PROB	396280	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	16	5	3	8	n/a	n/a	n/a	n/a	n/a
794.138	n/a	PROB	397069	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	17	9	1	7	n/a	n/a	n/a	n/a	n/a
795.538	n/a	PROB	397769	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	9	4	2	n/a	n/a	n/a	n/a	n/a
797.202	n/a	PROB	398601	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	1	6	7	n/a	n/a	n/a	n/a	n/a
799.054	n/a	STOP	399527	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
800.696	n/a	WORD	400348	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	0	BAY	102	n/a	1	n/a	0	0	0	0	0.5869140625	0.422607421875	lower	../fonts/amplitud.ttf
803.71	n/a	START	401855	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
804.526	n/a	PROB	402263	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	20	5	9	6	n/a	n/a	n/a	n/a	n/a
806.972	n/a	PROB	403486	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	19	8	2	9	n/a	n/a	n/a	n/a	n/a
808.32	n/a	PROB	404160	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	20	9	3	8	n/a	n/a	n/a	n/a	n/a
811.174	n/a	STOP	405587	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
812.714	n/a	WORD	406357	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	BOOT	150	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
815.726	n/a	START	407863	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
816.824	n/a	PROB	408412	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	14	1	8	5	n/a	n/a	n/a	n/a	n/a
818.838	n/a	PROB	409419	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	20	9	5	6	n/a	n/a	n/a	n/a	n/a
821.034	n/a	PROB	410517	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	11	5	4	2	n/a	n/a	n/a	n/a	n/a
823.03	n/a	STOP	411515	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
824.912	n/a	WORD	412456	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	PUMPKIN	1142	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
827.924	n/a	START	413962	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
828.956	n/a	PROB	414478	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	12	3	7	2	n/a	n/a	n/a	n/a	n/a
830.22	n/a	PROB	415110	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	5	2	1	2	n/a	n/a	n/a	n/a	n/a
831.718	n/a	PROB	415859	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	19	2	9	8	n/a	n/a	n/a	n/a	n/a
835.924	n/a	STOP	417962	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
837.11	n/a	WORD	418555	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	RASPBERRY	1168	n/a	0	n/a	0	0	0	1	0.412841796875	0.57763671875	upper	../fonts/zerothre.ttf
840.122	n/a	START	420061	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
841.022	n/a	PROB	420511	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	15	2	7	6	n/a	n/a	n/a	n/a	n/a
842.934	n/a	PROB	421467	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	10	1	1	8	n/a	n/a	n/a	n/a	n/a
844.416	n/a	PROB	422208	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	17	4	6	7	n/a	n/a	n/a	n/a	n/a
848.12	n/a	STOP	424060	n/a	LTP289	ltpFR	13	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
849.924	n/a	REC_START	424962	n/a	LTP289	ltpFR	13	2	n/a	n/a	n/a	n/a	n/a	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
851.348	n/a	REC_WORD	425674	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP289	ltpFR	13	2	1	PUMPKIN	1142	n/a	0	n/a	0	0	0	n/a	n/a	n/a	n/a	n/a
